  0.100000000E+00  0.150000000E-07  0.999550000E+00
  0.449985000E-03
  0.110517092E+00  0.223724804E-07  0.999392667E+00  0.607311042E-03
  0.122140276E+00  0.333666902E-07  0.999180370E+00  0.819597120E-03
  0.134985881E+00  0.497599457E-07  0.998893944E+00  0.110600587E-02
  0.149182470E+00  0.741998784E-07  0.998507575E+00  0.149235087E-02
  0.164872127E+00  0.110628711E-06  0.997986509E+00  0.201338021E-02
  0.182211880E+00  0.164912451E-06  0.997284012E+00  0.271582351E-02
  0.201375271E+00  0.245772036E-06  0.996337313E+00  0.366244129E-02
  0.222554093E+00  0.366157477E-06  0.995062258E+00  0.493737545E-02
  0.245960311E+00  0.545268039E-06  0.993346291E+00  0.665316422E-02
  0.271828183E+00  0.811506795E-06  0.991039350E+00  0.895983884E-02
  0.300416602E+00  0.120677125E-05  0.987942254E+00  0.120565395E-01
  0.332011692E+00  0.179262402E-05  0.983792186E+00  0.162060212E-01
  0.366929667E+00  0.265904949E-05  0.978245160E+00  0.217521809E-01
  0.405519997E+00  0.393665090E-05  0.970855891E+00  0.291401725E-01
  0.448168907E+00  0.581319975E-05  0.961056620E+00  0.389375673E-01
  0.495303242E+00  0.855525704E-05  0.948138388E+00  0.518530572E-01
  0.547394739E+00  0.125348695E-04  0.931241364E+00  0.687461010E-01
  0.604964746E+00  0.182596958E-04  0.909365142E+00  0.906165982E-01
  0.668589444E+00  0.264018872E-04  0.881414756E+00  0.118558842E+00
  0.738905610E+00  0.378164802E-04  0.846301269E+00  0.153660914E+00
  0.816616991E+00  0.535348013E-04  0.803112426E+00  0.196834039E+00
  0.902501350E+00  0.747153304E-04  0.751352454E+00  0.248572831E+00
  0.997418245E+00  0.102538846E-03  0.691216058E+00  0.308681403E+00
  0.110231764E+01  0.138051836E-03  0.623816296E+00  0.376045653E+00
  0.121824940E+01  0.181991285E-03  0.551254700E+00  0.448563309E+00
  0.134637380E+01  0.234651365E-03  0.476442491E+00  0.523322857E+00
  0.148797317E+01  0.295854992E-03  0.402671629E+00  0.597032516E+00
  0.164446468E+01  0.365057071E-03  0.333055977E+00  0.666578966E+00
  0.181741454E+01  0.441547736E-03  0.270034102E+00  0.729524350E+00
  0.200855369E+01  0.524681637E-03  0.215090830E+00  0.784384488E+00
  0.221979513E+01  0.614060243E-03  0.168741922E+00  0.830644017E+00
  0.245325302E+01  0.709630010E-03  0.130716687E+00  0.868573683E+00
  0.271126389E+01  0.811700508E-03  0.100226604E+00  0.898961695E+00
  0.299641000E+01  0.920910314E-03  0.762243452E-01  0.922854744E+00
  0.331154520E+01  0.103817160E-02  0.576017380E-01  0.941360090E+00
  0.365982344E+01  0.116461569E-02  0.433151597E-01  0.955520225E+00
  0.404473044E+01  0.130155079E-02  0.324496394E-01  0.966248810E+00
  0.447011845E+01  0.145043528E-02  0.242403607E-01  0.974309204E+00
  0.494024491E+01  0.161286510E-02  0.180688757E-01  0.980318259E+00
  0.545981500E+01  0.179057261E-02  0.134467610E-01  0.984762666E+00
  0.603402876E+01  0.198543377E-02  0.999479862E-02  0.988019768E+00
  0.666863310E+01  0.219948149E-02  0.742218929E-02  0.990378329E+00
  0.736997937E+01  0.243492324E-02  0.550795263E-02  0.992057124E+00
  0.814508687E+01  0.269416201E-02  0.408528103E-02  0.993220557E+00
  0.900171313E+01  0.297981983E-02  0.302887690E-02  0.993991303E+00
  0.994843156E+01  0.329476371E-02  0.224496378E-02  0.994460273E+00
  0.109947172E+02  0.364213374E-02  0.166354459E-02  0.994694322E+00
  0.121510418E+02  0.402537353E-02  0.123247545E-02  0.994742151E+00
  0.134289780E+02  0.444826307E-02  0.912969176E-03  0.994638768E+00
  0.148413159E+02  0.491495417E-02  0.676205520E-03  0.994408840E+00
  0.164021907E+02  0.543000877E-02  0.500787384E-03  0.994069204E+00
  0.181272242E+02  0.599844025E-02  0.370838500E-03  0.993630721E+00
  0.200336810E+02  0.662575808E-02  0.274584299E-03  0.993099658E+00
  0.221406416E+02  0.731801590E-02  0.203295207E-03  0.992478689E+00
  0.244691932E+02  0.808186342E-02  0.150500860E-03  0.991767636E+00
  0.270426407E+02  0.892460215E-02  0.111406375E-03  0.990963991E+00
  0.298867401E+02  0.985424527E-02  0.824590390E-04  0.990063296E+00
  0.330299560E+02  0.108795816E-01  0.610268340E-04  0.989059392E+00
  0.365037468E+02  0.120102440E-01  0.451600321E-04  0.987944596E+00
  0.403428793E+02  0.132567816E-01  0.334144489E-04  0.986709804E+00
  0.445857770E+02  0.146307365E-01  0.247204408E-04  0.985344543E+00
  0.492749041E+02  0.161447245E-01  0.182858228E-04  0.983836990E+00
  0.544571910E+02  0.178125183E-01  0.135239349E-04  0.982173958E+00
  0.601845038E+02  0.196491349E-01  0.100003476E-04  0.980340865E+00
  0.665141633E+02  0.216709238E-01  0.739338022E-05  0.978321683E+00
  0.735095189E+02  0.238956571E-01  0.546485436E-05  0.976098878E+00
  0.812405825E+02  0.263426185E-01  0.403843040E-05  0.973653343E+00
  0.897847292E+02  0.290326899E-01  0.298356177E-05  0.970964327E+00
  0.992274716E+02  0.319884339E-01  0.220361080E-05  0.968009362E+00
  0.109663316E+03  0.352341681E-01  0.162704722E-05  0.964764205E+00
  0.121196707E+03  0.387960290E-01  0.120093002E-05  0.961202770E+00
  0.133943076E+03  0.427020203E-01  0.886080574E-06  0.957297094E+00
  0.148029993E+03  0.469820422E-01  0.653508343E-06  0.953017304E+00
  0.163598443E+03  0.516678939E-01  0.481764233E-06  0.948331624E+00
