  0.100000001E+00  0.714589357E+00  0.233822846E+01
  0.200000003E+00  0.484223962E+00  0.252825308E+01
  0.300000012E+00  0.320552826E+00  0.257701135E+01
  0.400000006E+00  0.212474108E+00  0.252282763E+01
  0.500000000E+00  0.143348277E+00  0.240597868E+01
  0.600000024E+00  0.993583202E-01  0.225660610E+01
  0.700000048E+00  0.710653290E-01  0.209408283E+01
  0.800000072E+00  0.525235832E-01  0.192988682E+01
  0.900000095E+00  0.400991179E-01  0.177044892E+01
  0.100000012E+01  0.315808728E-01  0.161915886E+01
  0.110000014E+01  0.256115869E-01  0.147762191E+01
  0.120000017E+01  0.213449448E-01  0.134641099E+01
  0.130000019E+01  0.182431936E-01  0.122550941E+01
  0.140000021E+01  0.159577616E-01  0.111457109E+01
  0.150000024E+01  0.142582050E-01  0.101307440E+01
  0.160000026E+01  0.129892891E-01  0.920413375E+00
  0.170000029E+01  0.120446356E-01  0.835951805E+00
  0.180000031E+01  0.113502424E-01  0.759055376E+00
  0.190000033E+01  0.108539937E-01  0.689110041E+00
  0.200000024E+01  0.105188619E-01  0.625532508E+00
  0.210000014E+01  0.103184301E-01  0.567775369E+00
  0.220000005E+01  0.102338977E-01  0.515329301E+00
  0.229999995E+01  0.102520436E-01  0.467723191E+00
  0.239999986E+01  0.103638349E-01  0.424523294E+00
  0.249999976E+01  0.105634555E-01  0.385331452E+00
  0.259999967E+01  0.108476318E-01  0.349783182E+00
  0.269999957E+01  0.112151606E-01  0.317545414E+00
  0.279999948E+01  0.116665782E-01  0.288314253E+00
  0.289999938E+01  0.122039393E-01  0.261812747E+00
  0.299999928E+01  0.128306644E-01  0.237788707E+00
  0.309999919E+01  0.135514494E-01  0.216012761E+00
  0.319999909E+01  0.143722165E-01  0.196276337E+00
  0.329999900E+01  0.153001044E-01  0.178389907E+00
  0.339999890E+01  0.163434818E-01  0.162181363E+00
  0.349999881E+01  0.175119881E-01  0.147494420E+00
  0.359999871E+01  0.188165978E-01  0.134187236E+00
  0.369999862E+01  0.202697031E-01  0.122131124E+00
  0.379999852E+01  0.218852144E-01  0.111209333E+00
  0.389999843E+01  0.236786790E-01  0.101315998E+00
  0.399999833E+01  0.256674252E-01  0.923551247E-01
  0.409999847E+01  0.278707184E-01  0.842397064E-01
  0.419999838E+01  0.303099398E-01  0.768908858E-01
  0.429999828E+01  0.330087915E-01  0.702372193E-01
  0.439999819E+01  0.359935164E-01  0.642139986E-01
  0.449999809E+01  0.392931513E-01  0.587626249E-01
  0.459999800E+01  0.429398008E-01  0.538300537E-01
  0.469999790E+01  0.469689518E-01  0.493682884E-01
  0.479999781E+01  0.514197983E-01  0.453339219E-01
  0.489999771E+01  0.563356318E-01  0.416877270E-01
  0.499999762E+01  0.617642403E-01  0.383942723E-01
  0.509999752E+01  0.677583739E-01  0.354216024E-01
  0.519999743E+01  0.743762255E-01  0.327409208E-01
  0.529999733E+01  0.816820115E-01  0.303263329E-01
  0.539999723E+01  0.897465423E-01  0.281546004E-01
  0.549999714E+01  0.986479074E-01  0.262049418E-01
  0.559999704E+01  0.108472191E+00  0.244588424E-01
  0.569999695E+01  0.119314268E+00  0.228999127E-01
  0.579999685E+01  0.131278664E+00  0.215137564E-01
  0.589999676E+01  0.144480512E+00  0.202878863E-01
  0.599999666E+01  0.159046561E+00  0.192116573E-01
  0.609999657E+01  0.175116315E+00  0.182762481E-01
  0.619999647E+01  0.192843199E+00  0.174746774E-01
  0.629999638E+01  0.212395862E+00  0.168018807E-01
  0.639999628E+01  0.233959526E+00  0.162548516E-01
  0.649999619E+01  0.257737428E+00  0.158328675E-01
  0.659999609E+01  0.283952326E+00  0.155378291E-01
  0.669999599E+01  0.312847942E+00  0.153747648E-01
  0.679999590E+01  0.344690502E+00  0.153525444E-01
  0.689999580E+01  0.379770011E+00  0.154849049E-01
  0.699999571E+01  0.418401390E+00  0.157919228E-01
  0.709999561E+01  0.460925043E+00  0.163021330E-01
  0.719999552E+01  0.507706761E+00  0.170556195E-01
  0.729999542E+01  0.559136212E+00  0.181085691E-01
  0.739999533E+01  0.615623355E+00  0.195400827E-01
  0.749999523E+01  0.677591383E+00  0.214625187E-01
